Domain,Records,Status,Reason
225,1,INVALID,Bad domain syntax
226,1,INVALID,Bad domain syntax
227,1,INVALID,Bad domain syntax
228,1,INVALID,Bad domain syntax
229,1,INVALID,Bad domain syntax
230,1,INVALID,Bad domain syntax
231,1,INVALID,Bad domain syntax
232,1,INVALID,Bad domain syntax
233,1,INVALID,Bad domain syntax
234,1,INVALID,Bad domain syntax
235,1,INVALID,Bad domain syntax
236,1,INVALID,Bad domain syntax
237,1,INVALID,Bad domain syntax
238,1,INVALID,Bad domain syntax
239,1,INVALID,Bad domain syntax
240,1,INVALID,Bad domain syntax
241,1,INVALID,Bad domain syntax
242,1,INVALID,Bad domain syntax
243,1,INVALID,Bad domain syntax
244,1,INVALID,Bad domain syntax
245,1,INVALID,Bad domain syntax
246,1,INVALID,Bad domain syntax
247,1,INVALID,Bad domain syntax
248,1,INVALID,Bad domain syntax
249,1,INVALID,Bad domain syntax
250,1,INVALID,Bad domain syntax
251,1,INVALID,Bad domain syntax
252,1,INVALID,Bad domain syntax
253,1,INVALID,Bad domain syntax
254,1,INVALID,Bad domain syntax
255,1,INVALID,Bad domain syntax
256,1,INVALID,Bad domain syntax
257,1,INVALID,Bad domain syntax
258,1,INVALID,Bad domain syntax
259,1,INVALID,Bad domain syntax
260,1,INVALID,Bad domain syntax
261,1,INVALID,Bad domain syntax
262,1,INVALID,Bad domain syntax
263,1,INVALID,Bad domain syntax
264,1,INVALID,Bad domain syntax
265,1,INVALID,Bad domain syntax
266,1,INVALID,Bad domain syntax
267,1,INVALID,Bad domain syntax
268,1,INVALID,Bad domain syntax
269,1,INVALID,Bad domain syntax
270,1,INVALID,Bad domain syntax
271,1,INVALID,Bad domain syntax
272,1,INVALID,Bad domain syntax
273,1,INVALID,Bad domain syntax
274,1,INVALID,Bad domain syntax
275,1,INVALID,Bad domain syntax
276,1,INVALID,Bad domain syntax
277,1,INVALID,Bad domain syntax
278,1,INVALID,Bad domain syntax
279,1,INVALID,Bad domain syntax
280,1,INVALID,Bad domain syntax
281,1,INVALID,Bad domain syntax
282,1,INVALID,Bad domain syntax
283,1,INVALID,Bad domain syntax
284,1,INVALID,Bad domain syntax
285,1,INVALID,Bad domain syntax
286,1,INVALID,Bad domain syntax
287,1,INVALID,Bad domain syntax
288,1,INVALID,Bad domain syntax
289,1,INVALID,Bad domain syntax
290,1,INVALID,Bad domain syntax
291,1,INVALID,Bad domain syntax
292,1,INVALID,Bad domain syntax
293,1,INVALID,Bad domain syntax
294,1,INVALID,Bad domain syntax
295,1,INVALID,Bad domain syntax
296,1,INVALID,Bad domain syntax
297,1,INVALID,Bad domain syntax
298,1,INVALID,Bad domain syntax
299,1,INVALID,Bad domain syntax
300,1,INVALID,Bad domain syntax
